ID,YEAR,MONTH,ELEMENT,VALUE1,MFLAG1,QFLAG1,SFLAG1,VALUE2,MFLAG2,QFLAG2,SFLAG2,VALUE3,MFLAG3,QFLAG3,SFLAG3,VALUE4,MFLAG4,QFLAG4,SFLAG4,VALUE5,MFLAG5,QFLAG5,SFLAG5,VALUE6,MFLAG6,QFLAG6,SFLAG6,VALUE7,MFLAG7,QFLAG7,SFLAG7,VALUE8,MFLAG8,QFLAG8,SFLAG8,VALUE9,MFLAG9,QFLAG9,SFLAG9,VALUE10,MFLAG10,QFLAG10,SFLAG10,VALUE11,MFLAG11,QFLAG11,SFLAG11,VALUE12,MFLAG12,QFLAG12,SFLAG12,VALUE13,MFLAG13,QFLAG13,SFLAG13,VALUE14,MFLAG14,QFLAG14,SFLAG14,VALUE15,MFLAG15,QFLAG15,SFLAG15,VALUE16,MFLAG16,QFLAG16,SFLAG16,VALUE17,MFLAG17,QFLAG17,SFLAG17,VALUE18,MFLAG18,QFLAG18,SFLAG18,VALUE19,MFLAG19,QFLAG19,SFLAG19,VALUE20,MFLAG20,QFLAG20,SFLAG20,VALUE21,MFLAG21,QFLAG21,SFLAG21,VALUE22,MFLAG22,QFLAG22,SFLAG22,VALUE23,MFLAG23,QFLAG23,SFLAG23,VALUE24,MFLAG24,QFLAG24,SFLAG24,VALUE25,MFLAG25,QFLAG25,SFLAG25,VALUE26,MFLAG26,QFLAG26,SFLAG26,VALUE27,MFLAG27,QFLAG27,SFLAG27,VALUE28,MFLAG28,QFLAG28,SFLAG28,VALUE29,MFLAG29,QFLAG29,SFLAG29,VALUE30,MFLAG30,QFLAG30,SFLAG30,VALUE31,MFLAG31,QFLAG31,SFLAG31
USC00200230,1891,10,TMAX,206,,,6,267,,,6,261,,,6,228,,,6,139,,,6,144,,,6,106,,,6,139,,,6,150,,,6,167,,,6,117,,,6,128,,,6,144,,,6,139,,,6,89,,,6,111,,,6,150,,,6,122,,,6,78,,,6,89,,,6,100,,,6,61,,,6,89,,,6,133,,,6,172,,,6,156,,,6,56,,,6,78,,,6,150,,,6,183,,,6,161,,,6
USC00200230,1891,10,TMIN,78,,,6,139,,,6,161,,,6,111,,,6,67,,,6,50,,,6,56,,,6,33,,,6,39,,,6,50,,,6,39,,,6,28,,,6,17,,,6,61,,,6,39,,,6,22,,,6,17,,,6,83,,,6,33,,,6,39,,,6,33,,,6,-6,,,6,-22,,,6,11,,,6,33,,,6,44,,,6,0,,,6,-33,,,6,6,,,6,67,,,6,56,,,6
USC00200230,1891,10,PRCP,-9999,,,,-9999,,,,-9999,,,,76,,,6,-9999,,,,-9999,,,,41,,,6,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,64,,,6,33,,,6,-9999,,,,-9999,,,,-9999,,,,196,,,6,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,13,,,6,-9999,,,,-9999,,,,-9999,,,,-9999,,,,56,,,6,-9999,,,
USC00200230,1891,11,TMAX,78,,,6,28,,,6,44,,,6,50,,,6,78,,,6,83,,,6,122,,,6,139,,,6,150,,,6,139,,,6,100,,,6,56,,,6,-9999,,,,-9999,,,,50,,,6,117,,,6,11,,,6,-33,,,6,22,,,6,78,,,6,111,,,6,111,,,6,72,,,6,28,,,6,-11,,,6,61,,,6,-11,,,6,-50,,,6,-67,,,6,-44,,,6,-9999,,,
USC00200230,1891,11,TMIN,11,,,6,-44,,,6,-61,,,6,-39,,,6,11,,,6,-6,,,6,17,,,6,22,,,6,106,,,6,11,,,6,22,,,6,11,,,6,-9999,,,,-9999,,,,-22,,,6,11,,,6,-117,,,6,-83,,,6,-94,,,6,0,,,6,17,,,6,67,,,6,22,,,6,-33,,,6,-61,,,6,-50,,,6,-56,,,6,-100,,,6,-139,,,6,-128,,,6,-9999,,,
USC00200230,1891,11,PRCP,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,81,,,6,452,,,6,0,P,,6,3,,,6,5,,,6,0,P,,6,0,P,,6,61,,,6,165,,,6,5,,,6,0,P,,6,0,P,,6,0,P,,6,107,,,6,170,,,6,71,,,6,0,P,,6,0,T,,6,0,P,,6,140,,,6,0,P,,6,0,P,,6,0,P,,6,-9999,,,
USC00200230,1891,11,SNOW,0,,,6,0,,,6,0,,,6,0,,,6,0,,,6,0,,,6,0,,,6,0,,,6,0,,,6,0,,,6,0,,,6,0,,,6,0,,,6,0,,,6,0,T,,6,0,,,6,0,T,,6,0,,,6,0,,,6,0,,,6,0,,,6,0,,,6,0,,,6,0,,,6,0,,,6,0,,,6,15,,,6,0,,,6,0,,,6,0,,,6,-9999,,,
USC00200230,1891,12,TMAX,22,,,6,44,,,6,94,,,6,122,,,6,83,,,6,17,,,6,-6,,,6,33,,,6,44,,,6,67,,,6,56,,,6,44,,,6,94,,,6,50,,,6,133,,,6,28,,,6,-33,,I,6,-11,,,6,22,,I,6,50,,,6,89,,,6,144,,,6,28,,,6,50,,,6,100,,,6,100,,,6,-22,,,6,50,,,6,50,,,6,6,,,6,28,,,6
USC00200230,1891,12,TMIN,-94,,,6,11,,,6,22,,,6,11,,,6,11,,,6,-44,,,6,-106,,,6,-106,,,6,6,,,6,-6,,,6,-11,,,6,-17,,,6,-17,,,6,17,,,6,22,,,6,11,,I,6,-83,,,6,-100,,,6,-61,,,6,33,,I,6,56,,,6,22,,,6,6,,,6,-6,,,6,22,,,6,-78,,,6,-78,,,6,-61,,,6,-61,,,6,-39,,,6,-28,,,6
USC00200230,1892,1,TMAX,117,,,6,94,,,6,-67,,,6,-33,,,6,-22,,,6,-39,,,6,-61,,,6,-72,,,6,-106,,,6,-83,,,6,-22,,,6,-11,,,6,-72,,,6,-72,,,6,-83,,,6,-50,,,6,-17,,,6,-44,,,6,-111,,,6,-94,,,6,-28,,,6,6,,,6,-6,,,6,33,,,6,39,,,6,-33,,,6,-61,,,6,33,,,6,50,,,6,6,,,6,28,,,6
